,사고번호,사고일시,시군구,구,lat,long
245,2021021900100245,2021년 2월 19일 12시,대구광역시 서구 평리동,서구,35.8667441,128.5554707
246,2021021900100324,2021년 2월 19일 14시,대구광역시 수성구 만촌동,수성구,35.872167,128.6403753
247,2021021900100368,2021년 2월 19일 15시,대구광역시 서구 평리동,서구,35.8669018,128.5645219
248,2021021900100423,2021년 2월 19일 16시,대구광역시 달서구 본리동,달서구,35.8375045,128.5429993
249,2021021900100572,2021년 2월 19일 19시,대구광역시 달서구 대곡동,달서구,35.8076644,128.5241265
250,2021022000100040,2021년 2월 20일 04시,대구광역시 중구 삼덕동1가,중구,35.8670767,128.5989748
251,2021022000100100,2021년 2월 20일 09시,대구광역시 북구 동천동,북구,35.9381591,128.5594816
252,2021022000100121,2021년 2월 20일 10시,대구광역시 달서구 송현동,달서구,35.8296755,128.5506047
253,2021022000100228,2021년 2월 20일 13시,대구광역시 남구 대명동,남구,35.852348,128.5821882
254,2021022000100230,2021년 2월 20일 13시,대구광역시 동구 각산동,동구,35.8746115,128.7138182
255,2021022000100231,2021년 2월 20일 13시,대구광역시 달서구 두류동,달서구,35.8549145,128.550031
256,2021022000100296,2021년 2월 20일 15시,대구광역시 중구 삼덕동1가,중구,35.8677712,128.5978741
257,2021022000100335,2021년 2월 20일 16시,대구광역시 달서구 송현동,달서구,35.8338057,128.5513795
258,2021022000100337,2021년 2월 20일 16시,대구광역시 중구 동인동3가,중구,35.8732482,128.6097757
259,2021022000100410,2021년 2월 20일 18시,대구광역시 수성구 범물동,수성구,35.8253346,128.6434837
260,2021022000100467,2021년 2월 20일 20시,대구광역시 달성군 옥포읍,달성군,35.7699024,128.4735471
261,2021022100100169,2021년 2월 21일 14시,대구광역시 수성구 두산동,수성구,35.8260664,128.6126971
262,2021022100100172,2021년 2월 21일 14시,대구광역시 달서구 감삼동,달서구,35.8491023,128.5307402
263,2021022100100255,2021년 2월 21일 16시,대구광역시 달서구 본동,달서구,35.8354478,128.5321574
264,2021022200100015,2021년 2월 22일 03시,대구광역시 수성구 수성동4가,수성구,35.8627826,128.6136367
265,2021022200100139,2021년 2월 22일 09시,대구광역시 수성구 신매동,수성구,35.8391406,128.7079783
266,2021022200100202,2021년 2월 22일 11시,대구광역시 남구 대명동,남구,35.8517901,128.5835029
267,2021022200100264,2021년 2월 22일 13시,대구광역시 달서구 성당동,달서구,35.8415935,128.5526646
268,2021022200100295,2021년 2월 22일 14시,대구광역시 북구 복현동,북구,35.8983658,128.6177647
269,2021022200100383,2021년 2월 22일 16시,대구광역시 중구 공평동,중구,35.8689372,128.5964998
270,2021022200100417,2021년 2월 22일 17시,대구광역시 북구 검단동,북구,35.9157312,128.6193395
271,2021022200100451,2021년 2월 22일 18시,대구광역시 달성군 다사읍,달성군,35.857059,128.4641971
272,2021022200100519,2021년 2월 22일 20시,대구광역시 서구 비산동,서구,35.8849654,128.5570306
273,2021022300100030,2021년 2월 23일 05시,대구광역시 수성구 두산동,수성구,35.8376726,128.623018
274,2021022300100172,2021년 2월 23일 11시,대구광역시 수성구 범어동,수성구,35.8594212,128.6242126
275,2021022300100319,2021년 2월 23일 15시,대구광역시 동구 방촌동,동구,35.8789454,128.6725277
276,2021022400100102,2021년 2월 24일 09시,대구광역시 북구 태전동,북구,35.9207819,128.545603
277,2021022400100206,2021년 2월 24일 13시,대구광역시 북구 산격동,북구,35.8975958,128.6060597
278,2021022400100277,2021년 2월 24일 15시,대구광역시 남구 봉덕동,남구,35.8513693,128.5860364
279,2021022400100307,2021년 2월 24일 16시,대구광역시 북구 칠성동2가,북구,35.8866489,128.5856992
280,2021022400100506,2021년 2월 24일 22시,대구광역시 남구 대명동,남구,35.8527987,128.5874228
281,2021022500100096,2021년 2월 25일 08시,대구광역시 수성구 범어동,수성구,35.8586213,128.6249958
282,2021022500100098,2021년 2월 25일 08시,대구광역시 서구 내당동,서구,35.8594807,128.5510182
